	Preview_ID	Preview_Type	File Name	Preview_TreatmentSite	Preview_LastModified	Preview_ApprovalHistory	Preview_AssignedUsers	Preview_Description	Preview_Diagnosis	Preview_ApprovalStatus	ObjectivesOneStructure_ID	VolumeType	Distance	Color	VolumeCode	VolumeCodeTable	Group	Type	Operator	Dose	Volume	Priority	Group2	Type2	Operator2	Dose2	Volume2	Priority2	Group3	Type3	Operator3	Dose3	Volume3	Priority3	Group4	Type4	Operator4	Dose4	Volume4	Priority4	Group5	Type5	Operator5	Dose5	Volume5	Priority5	ObjectivesOneStructure_SurfaceOnly	SamplePoints_nil	StructureCode_Code	Distance_nil	StructureCode_CodeScheme	ObjectivesOneStructure_NAME	StructureCode_CodeSchemeVersion	ParameterA_nil
	VMAT PROS 66/33	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_10846.xml		 November 21 2018 10:05:15:306	told Created [ July 05 2017 11:07:22:849 ];told Approved [ July 05 2017 11:08:32:740 ]	told			Approved	Avoid a Rectum	Control	3	9639167			0	0	0	20	0	50																									false	true						true
	VMAT PROS 66/33	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_10846.xml		 November 21 2018 10:05:15:306	told Created [ July 05 2017 11:07:22:849 ];told Approved [ July 05 2017 11:08:32:740 ]	told			Approved	Avoid b Rectum	Control	3	13828244			0	0	0	10	0	50																									false	true						true
	VMAT PROS 66/33	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_10846.xml		 November 21 2018 10:05:15:306	told Created [ July 05 2017 11:07:22:849 ];told Approved [ July 05 2017 11:08:32:740 ]	told			Approved	Bladder	Organ	1.501	13130346																																	false	true						
	VMAT PROS 66/33	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_10846.xml		 November 21 2018 10:05:15:306	told Created [ July 05 2017 11:07:22:849 ];told Approved [ July 05 2017 11:08:32:740 ]	told			Approved	Body	BODY	4.5	65280																																	false	true						
	VMAT PROS 66/33	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_10846.xml		 November 21 2018 10:05:15:306	told Created [ July 05 2017 11:07:22:849 ];told Approved [ July 05 2017 11:08:32:740 ]	told			Approved	CTV	CTV	3	16776960			0	0	0	67	0	100	0	0	1	69	100	110																			false	true						true
	VMAT PROS 66/33	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_10846.xml		 November 21 2018 10:05:15:306	told Created [ July 05 2017 11:07:22:849 ];told Approved [ July 05 2017 11:08:32:740 ]	told			Approved	Femoral Head L	Organ	1.501	32896			0	0	0	50	0	50																									false	true						true
	VMAT PROS 66/33	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_10846.xml		 November 21 2018 10:05:15:306	told Created [ July 05 2017 11:07:22:849 ];told Approved [ July 05 2017 11:08:32:740 ]	told			Approved	Femoral Head R	Organ	1.501	9221330			0	0	0	50	0	50																									false	true						true
	VMAT PROS 66/33	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_10846.xml		 November 21 2018 10:05:15:306	told Created [ July 05 2017 11:07:22:849 ];told Approved [ July 05 2017 11:08:32:740 ]	told			Approved	opt Bladder	Avoidance	3	13130346			0	0	0	30	60	50	0	0	0	55	25	50	0	0	0	60	15	50	0	0	0	65	5	50							false	true						true
	VMAT PROS 66/33	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_10846.xml		 November 21 2018 10:05:15:306	told Created [ July 05 2017 11:07:22:849 ];told Approved [ July 05 2017 11:08:32:740 ]	told			Approved	opt PTV	PTV	3	15570276			0	0	0	64	0	100	0	0	0	64	0	100	0	0	1	69	100	120													false	true						true
	VMAT PROS 66/33	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_10846.xml		 November 21 2018 10:05:15:306	told Created [ July 05 2017 11:07:22:849 ];told Approved [ July 05 2017 11:08:32:740 ]	told			Approved	opt Rectum	Avoidance	3	2763429			0	0	0	30	60	70	0	0	0	55	25	70	0	0	0	60	15	70	0	0	0	65	5	70							false	true						true
	VMAT PROS 66/33	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_10846.xml		 November 21 2018 10:05:15:306	told Created [ July 05 2017 11:07:22:849 ];told Approved [ July 05 2017 11:08:32:740 ]	told			Approved	PTV	PTV	1.501	15570276																																	false	true						
	VMAT PROS 66/33	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_10846.xml		 November 21 2018 10:05:15:306	told Created [ July 05 2017 11:07:22:849 ];told Approved [ July 05 2017 11:08:32:740 ]	told			Approved	Rectum	Organ	1.501	2763429																																	false	true						
	VMAT FSRT	Objective	C:\Users\gsalomon\OneDrive - Queen's University\Work\Structure Dictionary\Template Archive\Objective Templates\ObjectiveTemplate_11048.xml		 July 06 2017 12:14:31:515	told Created [ July 06 2017 12:13:38:089 ];told Approved [ July 06 2017 12:14:31:484 ]	told			Approved	Avoid INNER	Control	1.76781	9639167			0	0	0	31.85	0	50																									false	true						true
