CodeScheme;CodeSchemeVersion;ColorAndStyle;DVHLineColor;DVHLineStyle;DVHLineWidth;EUDAlpha;ID;Name;Name_r;SearchCTHigh;SearchCTLow;Structure;StructureCode;TCPAlpha;TCPBeta;TCPGamma;Template;TemplateDescription;TemplateType;TreatmentSite;TypeIndex;VolumeCode;VolumeCodeTable;VolumeCodeTable_r;VolumeCode_r;VolumeID;VolumeType
99VMS_STRUCTCODE;1.0;z Body;-16777216;0;3;"xsi:nil=""true""";Body;Body;;-50;-350;Body;BODY;"xsi:nil=""true""";"xsi:nil=""true""";"xsi:nil=""true""";CE8-Brain;Structures fo CE8-Brain;Structure;.CNS;2;;;;;;BODY
FMA;3.2;z Brain;-16777216;0;3;"xsi:nil=""true""";Brain;Brain;;50;10;Brain;50801;"xsi:nil=""true""";"xsi:nil=""true""";"xsi:nil=""true""";CE8-Brain;Structures fo CE8-Brain;Structure;.CNS;2;;;;;;Organ
99VMS_STRUCTCODE;1.0;z Brain;-16777216;1;3;"xsi:nil=""true""";Brain-PTV_6000;Brain-PTV;;Missing;Missing;Brain opt;brain-ptvs;"xsi:nil=""true""";"xsi:nil=""true""";"xsi:nil=""true""";CE8-Brain;Structures fo CE8-Brain;Structure;.CNS;2;;;;;;Avoidance
FMA;3.2;z Brain;-16777216;0;3;"xsi:nil=""true""";Brain_CL;Contralateral Brain;;50;10;Brain;50801;"xsi:nil=""true""";"xsi:nil=""true""";"xsi:nil=""true""";CE8-Brain;Structures fo CE8-Brain;Structure;.CNS;2;;;;;;Organ
FMA;3.2;z Brain Stem;-16777216;0;3;"xsi:nil=""true""";BrainStem;Brain Stem;;Missing;Missing;Brain Stem;79876;"xsi:nil=""true""";"xsi:nil=""true""";"xsi:nil=""true""";CE8-Brain;Structures fo CE8-Brain;Structure;.CNS;2;;;;;;Organ
FMA;3.2;z Brain Stem opt;-16777216;1;3;"xsi:nil=""true""";opt BrainStem;Brain  Stem for Optimizer;;Missing;Missing;Brain Stem opt;79876;"xsi:nil=""true""";"xsi:nil=""true""";"xsi:nil=""true""";CE8-Brain;Structures fo CE8-Brain;Structure;.CNS;2;;;;;;Avoidance
99VMS_STRUCTCODE;1.0;z BR STM PRV;-16777216;0;3;"xsi:nil=""true""";PRV5 BrainStem;Brain Stem PRV 5mm;;Missing;Missing;Brain Stem PRV;PRV;"xsi:nil=""true""";"xsi:nil=""true""";"xsi:nil=""true""";CE8-Brain;Structures fo CE8-Brain;Structure;.CNS;2;;;;;;Avoidance
FMA;3.2;z Cochlea L;-16777216;0;3;"xsi:nil=""true""";Cochlea_L;Cochlea Left;;Missing;Missing;Cochlea L;60203;"xsi:nil=""true""";"xsi:nil=""true""";"xsi:nil=""true""";CE8-Brain;Structures fo CE8-Brain;Structure;.CNS;2;;;;;;Organ
FMA;3.2;z Cochlea R;-16777216;0;3;"xsi:nil=""true""";Cochlea_R;Cochlea Right;;Missing;Missing;Cochlea R;60202;"xsi:nil=""true""";"xsi:nil=""true""";"xsi:nil=""true""";CE8-Brain;Structures fo CE8-Brain;Structure;.CNS;2;;;;;;Organ
RADLEX;3.8;z Contrast;-16777216;0;3;"xsi:nil=""true""";Edema;Edema based on MRI T2;;Missing;Missing;Contrast;11582;"xsi:nil=""true""";"xsi:nil=""true""";"xsi:nil=""true""";CE8-Brain;Structures fo CE8-Brain;Structure;.CNS;2;;;;;;None
